epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3493.3,0.53102,0.31642,0.85909,0.9987,0.99863,0.99436,0.92477,0.41979,0.2071,0.81425,0.00453333,0.00453333,0.00453333
43,3574.61,0.53207,0.31801,0.85669,0.99793,0.99932,0.99443,0.92749,0.41537,0.20654,0.81194,0.0044,0.0044,0.0044
44,3655.79,0.53035,0.31482,0.85883,0.99867,0.99915,0.99443,0.92887,0.41625,0.20474,0.81072,0.00426667,0.00426667,0.00426667
45,3737.09,0.52517,0.31263,0.85749,0.99855,0.99865,0.9944,0.92749,0.41529,0.20374,0.81227,0.00413333,0.00413333,0.00413333
46,3818.24,0.52639,0.31063,0.85472,0.99876,0.99865,0.99439,0.92596,0.41537,0.2034,0.81148,0.004,0.004,0.004
47,3898.84,0.52236,0.30878,0.85352,0.9989,0.99865,0.99436,0.92816,0.41397,0.20416,0.81184,0.00386667,0.00386667,0.00386667
48,3979.48,0.5205,0.30723,0.85454,0.99819,0.99865,0.99435,0.92866,0.41366,0.20324,0.81225,0.00373333,0.00373333,0.00373333
49,4060.87,0.51806,0.30476,0.85231,0.9983,0.99865,0.99436,0.92894,0.41319,0.20166,0.81141,0.0036,0.0036,0.0036
50,4141.79,0.51362,0.30223,0.85216,0.9989,0.99865,0.99438,0.9297,0.40997,0.20144,0.8097,0.00346667,0.00346667,0.00346667
51,4235.4,0.46435,0.25927,0.81733,0.99871,0.99797,0.99434,0.92798,0.41613,0.20468,0.81249,0.00333333,0.00333333,0.00333333
52,4314.39,0.45867,0.25603,0.8181,0.99842,0.99757,0.99436,0.92844,0.41388,0.206,0.81267,0.0032,0.0032,0.0032
53,4393.23,0.45465,0.25301,0.81708,0.99816,0.99767,0.99435,0.93274,0.41114,0.20577,0.81136,0.00306667,0.00306667,0.00306667
54,4472.12,0.45216,0.25081,0.81709,0.99822,0.99786,0.99436,0.93311,0.41175,0.2048,0.81128,0.00293333,0.00293333,0.00293333
55,4551.25,0.44639,0.24774,0.81278,0.99872,0.99797,0.99436,0.93461,0.4085,0.20577,0.81027,0.0028,0.0028,0.0028
56,4630.82,0.44315,0.2452,0.81462,0.99888,0.9973,0.99434,0.93407,0.40684,0.20195,0.81133,0.00266667,0.00266667,0.00266667
57,4710.86,0.44034,0.24292,0.81232,0.99894,0.99795,0.99439,0.93477,0.4054,0.20585,0.80991,0.00253333,0.00253333,0.00253333
58,4789.91,0.43622,0.23804,0.81318,0.99883,0.9979,0.99436,0.93569,0.40398,0.20156,0.81253,0.0024,0.0024,0.0024
59,4868.65,0.4322,0.23431,0.8135,0.99888,0.99789,0.99436,0.93603,0.40325,0.19796,0.81327,0.00226667,0.00226667,0.00226667
60,4948.29,0.42889,0.23271,0.81123,0.99888,0.9979,0.9944,0.93705,0.40338,0.19763,0.81268,0.00213333,0.00213333,0.00213333
