epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3097.68,0.85742,0.5002,1.00878,0.99097,0.97216,0.99368,0.80153,0.72753,0.33879,0.92892,0.000906667,0.000906667,0.000906667
43,3168.18,0.86542,0.50237,1.01228,0.99101,0.97684,0.99368,0.79933,0.73222,0.34694,0.93115,0.00088,0.00088,0.00088
44,3245.48,0.86374,0.50253,1.01266,0.98484,0.98165,0.99399,0.80388,0.73754,0.33875,0.93362,0.000853333,0.000853333,0.000853333
45,3315.73,0.85759,0.4967,1.00933,0.98913,0.97892,0.99382,0.79912,0.72714,0.33815,0.92999,0.000826667,0.000826667,0.000826667
46,3385.52,0.85113,0.49507,1.00722,0.99023,0.98038,0.99389,0.8049,0.73134,0.33732,0.93176,0.0008,0.0008,0.0008
47,3455.4,0.84975,0.48807,1.00534,0.98725,0.98046,0.99372,0.80886,0.72529,0.33528,0.92565,0.000773333,0.000773333,0.000773333
48,3526.08,0.84898,0.48403,1.00221,0.99367,0.97658,0.994,0.80915,0.72,0.32985,0.92471,0.000746667,0.000746667,0.000746667
49,3596.19,0.84286,0.48039,1.00115,0.99177,0.97468,0.9938,0.80383,0.71728,0.33023,0.92189,0.00072,0.00072,0.00072
50,3666.58,0.83886,0.4768,1,0.99039,0.9786,0.99407,0.80522,0.71375,0.32645,0.92067,0.000693333,0.000693333,0.000693333
51,3749.3,0.73937,0.37172,0.93662,0.98871,0.98291,0.994,0.80741,0.72665,0.33143,0.93154,0.000666667,0.000666667,0.000666667
52,3815.32,0.73188,0.3657,0.93153,0.99303,0.97532,0.99401,0.81332,0.71981,0.32497,0.93007,0.00064,0.00064,0.00064
53,3881.14,0.71685,0.35705,0.92417,0.99166,0.97847,0.99416,0.81632,0.71259,0.32763,0.92182,0.000613333,0.000613333,0.000613333
54,3946.78,0.71518,0.35495,0.92547,0.99191,0.98291,0.99403,0.81788,0.72046,0.32918,0.92687,0.000586667,0.000586667,0.000586667
55,4012.81,0.70899,0.35021,0.92016,0.99318,0.98291,0.99436,0.82023,0.71,0.32458,0.92455,0.00056,0.00056,0.00056
56,4078.91,0.70631,0.34672,0.921,0.99044,0.9836,0.99436,0.82153,0.71353,0.31863,0.92706,0.000533333,0.000533333,0.000533333
57,4144.75,0.69651,0.34266,0.91583,0.9939,0.97911,0.99423,0.8195,0.70836,0.31644,0.92517,0.000506667,0.000506667,0.000506667
58,4210.92,0.69078,0.33725,0.91353,0.99305,0.98165,0.99444,0.82463,0.70259,0.31256,0.91895,0.00048,0.00048,0.00048
59,4276.83,0.69163,0.3353,0.91495,0.98796,0.98684,0.99437,0.82524,0.70062,0.31065,0.92079,0.000453333,0.000453333,0.000453333
60,4342.77,0.68097,0.32947,0.90945,0.99328,0.98291,0.99436,0.82747,0.69491,0.30915,0.91634,0.000426667,0.000426667,0.000426667
